"rrrrr";"Ozon Product ID";"FBS OZON SKU ID";"Наименование товара";"Доступно на моих складах, шт";"Зарезервировано на моих складах, шт";"Доступно на ""Тихвин, Мебельная 1"", шт";"Зарезервировано на ""Тихвин, Мебельная 1"", шт"
"2001459853306";"73692578";"262717399";"Комбинезон рабочий летний мужской 830-MU-00 (р-р 48-50/176)";"1";"0";"1";"0"
"2001459860908";"73692579";"262717494";"Комбинезон рабочий летний мужской 830-MU-00 (р-р 52-54/182)";"2";"0";"2";"0"
"2001459860892";"73692581";"262717501";"Комбинезон рабочий летний мужской 830-MU-00 (р-р 52-54/176)";"6";"0";"6";"0"
"2001459860915";"73692582";"262717705";"Комбинезон рабочий летний мужской 830-MU-00 (р-р 52-54/188)";"10";"0";"10";"0"
"2001459872949";"73692583";"266461142";"Комбинезон рабочий летний мужской 830-MU-00 (р-р 56-58/170)";"11";"0";"11";"0"
"2001459872963";"73692586";"262717773";"Комбинезон рабочий летний мужской 830-MU-00 (р-р 56-58/188)";"10";"0";"10";"0"
"2001459872994";"73692587";"262717534";"Комбинезон рабочий летний мужской 830-MU-00 (р-р 64-66/182)";"3";"0";"3";"0"
"2001459872987";"73692588";"262717684";"Комбинезон рабочий летний мужской 830-MU-00 (р-р 60-62/188)";"7";"0";"7";"0"
"2001459831533";"73692589";"262799778";"Комбинезон мужской рабочий оранжевый летний 830-MU-75 (р-р 44-46/176)";"5";"1";"5";"1"
"2001459868720";"73692590";"262717659";"Комбинезон рабочий летний мужской 830-MU-00 (р-р 60-62/182)";"5";"0";"5";"0"
"2001459831526";"73692593";"262717714";"Комбинезон мужской рабочий оранжевый летний 830-MU-75 (р-р 44-46/170)";"2";"0";"2";"0"
"2001459872970";"73692594";"262717579";"Комбинезон рабочий летний мужской 830-MU-00 (р-р 60-62/176)";"3";"0";"3";"0"
"2001459868713";"73692595";"276326203";"Комбинезон рабочий летний мужской 830-MU-00 (р-р 56-58/182)";"14";"0";"14";"0"
"2001459831519";"73692596";"262799790";"Комбинезон мужской рабочий оранжевый летний 830-MU-75 (р-р 44-46/164)";"3";"0";"3";"0"
"2001459872956";"73692597";"262799683";"Комбинезон рабочий летний мужской 830-MU-00 (р-р 56-58/176)";"10";"0";"10";"0"
"2001459831557";"73692598";"262717767";"Комбинезон мужской рабочий оранжевый летний 830-MU-75 (р-р 48-50/176)";"1";"0";"1";"0"
"2001459831540";"73692599";"262717724";"Комбинезон мужской рабочий оранжевый летний 830-MU-75 (р-р 48-50/170)";"2";"1";"2";"1"
"2001459831571";"73692600";"262717787";"Комбинезон мужской рабочий оранжевый летний 830-MU-75 (р-р 48-50/188)";"0";"0";"0";"0"
"2001459831564";"73692601";"262717701";"Комбинезон мужской рабочий оранжевый летний 830-MU-75 (р-р 48-50/182)";"0";"0";"0";"0"
"2001459831601";"73692602";"262717733";"Комбинезон мужской рабочий оранжевый летний 830-MU-75 (р-р 52-54/182)";"9";"0";"9";"0"
"2001459831588";"73692603";"262717680";"Комбинезон мужской рабочий оранжевый летний 830-MU-75 (р-р 52-54/170)";"6";"0";"6";"0"
"2001459831618";"73692604";"276326027";"Комбинезон мужской рабочий оранжевый летний 830-MU-75 (р-р 52-54/188)";"0";"0";"0";"0"
"2001459831595";"73692605";"262717715";"Комбинезон мужской рабочий оранжевый летний 830-MU-75 (р-р 52-54/176)";"2";"1";"2";"1"
"2001459831625";"73692606";"262717780";"Комбинезон мужской рабочий оранжевый летний 830-MU-75 (р-р 56-58/176)";"2";"0";"2";"0"
"2001459831632";"73692607";"262717768";"Комбинезон мужской рабочий оранжевый летний 830-MU-75 (р-р 56-58/182)";"3";"0";"3";"0"
"2001459872925";"73692608";"262717634";"Комбинезон мужской рабочий оранжевый летний 830-MU-75 (р-р 56-58/170)";"2";"0";"2";"0"
"2001459831649";"73692609";"262799833";"Комбинезон мужской рабочий оранжевый летний 830-MU-75 (р-р 56-58/188)";"1";"0";"1";"0"
"2001459831656";"73692610";"276325881";"Комбинезон мужской рабочий оранжевый летний 830-MU-75 (р-р 60-62/182)";"1";"0";"1";"0"
"2001459831670";"73692611";"276326064";"Комбинезон мужской рабочий оранжевый летний 830-MU-75 (р-р 64-66/182)";"0";"0";"0";"0"
"2001459831687";"73692612";"262717809";"Комбинезон мужской рабочий оранжевый летний 830-MU-75 (р-р 64-66/188)";"0";"0";"0";"0"
"2001459877784";"272373142";"563020709";"Куртка демисезонная рабочая 442NU (р-р 44-46/ 170-176)";"1";"0";"1";"0"
"2001459877845";"272373143";"563020550";"Куртка демисезонная рабочая 442NU (р-р 56-58/ 182-188)";"1";"0";"1";"0"
"2001459877807";"272373144";"563019661";"Куртка демисезонная рабочая 442NU (р-р 48-50/ 182-188)";"10";"0";"10";"0"
"2001459877821";"272373145";"563019782";"Куртка демисезонная рабочая 442NU (р-р 52-54/ 182-188)";"10";"0";"10";"0"
"2001459877791";"272373146";"563020016";"Куртка демисезонная рабочая 442NU (р-р 48-50/ 170-176)";"4";"0";"4";"0"
"2001459877814";"272373147";"563019843";"Куртка демисезонная рабочая 442NU (р-р 52-54/ 170-176)";"10";"0";"10";"0"
"2001459877838";"272373148";"563020858";"Куртка демисезонная рабочая 442NU (р-р 56-58/ 170-176)";"2";"0";"2";"0"
"2001459854334";"272501026";"563237672";"Куртка зимняя тёмно-синяя рабочая 442KC-TASLAN-15 (р-р 48-50/ 182-188)";"2";"0";"2";"0"
"2001459854303";"272515625";"563257260";"Куртка зимняя тёмно-синяя рабочая 442KC-TASLAN-15 (р-р 44-46/ 170-176)";"1";"0";"1";"0"
"2001459875773";"272515626";"563261091";"Куртка зимняя тёмно-синяя рабочая 442KC-TASLAN-15 (р-р 56-58/ 182-188)";"5";"0";"5";"0"
"2001459854341";"272515627";"563256791";"Куртка зимняя тёмно-синяя рабочая 442KC-TASLAN-15 (р-р 52-54/ 170-176)";"2";"0";"2";"0"
"2001459854310";"272515628";"563257420";"Куртка зимняя тёмно-синяя рабочая 442KC-TASLAN-15 (р-р 48-50/ 158-164)";"1";"0";"1";"0"
"2001459854358";"272515629";"563257250";"Куртка зимняя пилот (бомбер) 442KC-TASLAN-15 (р-р 52-54/ 182-188)";"3";"0";"3";"0"
"2001459883068";"272515630";"563257677";"Куртка зимняя тёмно-синяя рабочая 442KC-TASLAN-15 (р-р 64-66/ 170-176)";"3";"0";"3";"0"
"2001459854327";"272515631";"563256925";"Куртка зимняя тёмно-синяя рабочая 442KC-TASLAN-15 (р-р 48-50/ 170-176)";"1";"0";"1";"0"
"2001459875803";"272515632";"563261894";"Куртка зимняя тёмно-синяя рабочая 442KC-TASLAN-15 (р-р 64-66/ 182-188)";"4";"0";"4";"0"
"2001459875797";"272515634";"563285369";"Куртка зимняя пилот (бомбер) 442KC-TASLAN-15 (р-р 60-62/ 182-188)";"2";"0";"2";"0"
"2001459875766";"272515635";"563256802";"Куртка зимняя тёмно-синяя рабочая 442KC-TASLAN-15 (р-р 56-58/ 170-176)";"4";"0";"4";"0"
"2001459875759";"272515636";"563257258";"Куртка зимняя тёмно-синяя рабочая 442KC-TASLAN-15 (р-р 44-46/ 158-164)";"1";"0";"1";"0"
"2001459875780";"272515637";"563258186";"Куртка зимняя тёмно-синяя рабочая 442KC-TASLAN-15 (р-р 60-62/ 170-176)";"2";"0";"2";"0"
"2001459845110";"276838863";"569019807";"Комбинезон мужской утеплённый 888N-TWILL-16/58 (р-р 52-54/176)";"10";"0";"10";"0"
"2001459882474";"276838864";"569020071";"Комбинезон мужской утеплённый 888N-TWILL-16/58 (р-р 48-50/164)";"9";"0";"9";"0"
"2001459883051";"277587879";"569868326";"Куртка зимняя тёмно-фиолетовая рабочая 442KC-TWILL-14 (р-р 64-66/ 182-188)";"3";"0";"3";"0"
"2001459875490";"277587880";"569870747";"Куртка зимняя чёрная рабочая 442KC-TASLAN-90 (р-р 60-62/ 170-176)";"4";"0";"4";"0"
"2001459882962";"277587881";"569880354";"Куртка зимняя тёмно-фиолетовая рабочая 442KC-TWILL-14 (р-р 48-50/ 170-176)";"2";"0";"2";"0"
"2001459882986";"277587882";"569983845";"Куртка зимняя тёмно-фиолетовая рабочая 442KC-TWILL-14 (р-р 52-54/ 170-176)";"1";"0";"1";"0"
"2001459846025";"277587883";"570036914";"Бомбер 442KC-TWILL-90";"0";"0";"0";"0"
"2001459882955";"277587884";"569873116";"Куртка зимняя тёмно-фиолетовая рабочая 442KC-TWILL-14 (р-р 48-50/ 158-164)";"2";"0";"2";"0"
"2001459883013";"277587885";"569873114";"Куртка зимняя тёмно-фиолетовая рабочая 442KC-TWILL-14 (р-р 56-58/ 182-188)";"3";"0";"3";"0"
"2001459846018";"277587886";"569880091";"Куртка зимняя чёрная рабочая 442KC-TWILL-90 (р-р 48-50/ 182-188)";"4";"0";"4";"0"
"2001459883020";"277587887";"569868331";"Куртка зимняя тёмно-фиолетовая рабочая 442KC-TWILL-14 (р-р 60-62/ 170-176)";"2";"0";"2";"0"
"2001459882993";"277587888";"569868769";"Куртка зимняя тёмно-фиолетовая рабочая 442KC-TWILL-14 (р-р 52-54/ 182-188)";"2";"0";"2";"0"
