900,2001459821114,791E-TASLAN-81|48-50_170-176,Жилет утеплённый 791E-TASLAN-81,"(900, '2001459821114', 'activity'),"
901,2001459821121,791E-TASLAN-81|48-50_182-188,Жилет утеплённый 791E-TASLAN-81,"(901, '2001459821121', 'activity'),"
902,2001459821138,791E-TASLAN-81|52-54_170-176,Жилет утеплённый 791E-TASLAN-81,"(902, '2001459821138', 'activity'),"
904,2001459821145,791E-TASLAN-81|56-58_170-176,Жилет утеплённый 791E-TASLAN-81,"(904, '2001459821145', 'activity'),"
907,2001459821169,791E-TASLAN-81|64-66_170-176,Жилет утеплённый 791E-TASLAN-81,"(907, '2001459821169', 'activity'),"
909,2001459844885,791K-TASLAN-24/90|48-50_182-188,Жилет утеплённый с капюшоном 791K-TASLAN-24/90,"(909, '2001459844885', 'activity'),"
910,2001459844854,791K-TASLAN-24/90|44-46_158-164,Жилет утеплённый с капюшоном 791K-TASLAN-24/90,"(910, '2001459844854', 'activity'),"
911,2001459844861,791K-TASLAN-24/90|44-46_170-176,Жилет утеплённый с капюшоном 791K-TASLAN-24/90,"(911, '2001459844861', 'activity'),"
912,2001459854006,791K-TASLAN-24/90|48-50_158-164,Жилет утеплённый с капюшоном 791K-TASLAN-24/90,"(912, '2001459854006', 'activity'),"
913,2001459844878,791K-TASLAN-24/90|48-50_170-176,Жилет утеплённый с капюшоном 791K-TASLAN-24/90,"(913, '2001459844878', 'activity'),"
914,2001459844892,791K-TASLAN-24/90|52-54_170-176,Жилет утеплённый с капюшоном 791K-TASLAN-24/90,"(914, '2001459844892', 'activity'),"
915,2001459844908,791K-TASLAN-24/90|52-54_182-188,Жилет утеплённый с капюшоном 791K-TASLAN-24/90,"(915, '2001459844908', 'activity'),"
916,2001459844915,791K-TASLAN-24/90|56-58_170-176,Жилет утеплённый с капюшоном 791K-TASLAN-24/90,"(916, '2001459844915', 'activity'),"
917,2001459844922,791K-TASLAN-24/90|56-58_182-188,Жилет утеплённый с капюшоном 791K-TASLAN-24/90,"(917, '2001459844922', 'activity'),"
918,2001459854013,791K-TASLAN-24/90|60-62_170-176,Жилет утеплённый с капюшоном 791K-TASLAN-24/90,"(918, '2001459854013', 'activity'),"
919,2001459854020,791K-TASLAN-24/90|60-62_182-188,Жилет утеплённый с капюшоном 791K-TASLAN-24/90,"(919, '2001459854020', 'activity'),"
922,2001459844946,791K-TASLAN-81/90|48-50_170-176,Жилет утеплённый с капюшоном 791K-TASLAN-81/90,"(922, '2001459844946', 'activity'),"
923,2001459844939,791K-TASLAN-81/90|44-46_158-164,Жилет утеплённый с капюшоном 791K-TASLAN-81/90,"(923, '2001459844939', 'activity'),"
924,2001459868522,791K-TASLAN-81/90|44-46_170-176,Жилет утеплённый с капюшоном 791K-TASLAN-81/90,"(924, '2001459868522', 'activity'),"
